@relation RedCircleDatasetTrain

@attribute y_center numeric
@attribute x_center numeric
@attribute radius numeric
@attribute blue_mean numeric
@attribute green_mean numeric
@attribute red_mean numeric
@attribute red_circle {true,false}

@data
34,282,18,41.111111,4.111111,179.555556,true
141,291,18,30.666667,5.888889,167.777778,true
32,51,18,44,9.444444,180.111111,true
185,202,17,45.777778,9.666667,178,true
87,63,15,77.222222,107.333333,125.222222,false
189,285,16,72.777778,103.666667,122.111111,false
116,109,17,25.444444,118.555556,74,false
175,87,19,17.555556,15.111111,23.222222,false
133,30,15,49.111111,79,89.333333,false
73,16,15,82.222222,110.666667,128.444444,false
143,234,16,194.222222,201.777778,205.111111,false
36,152,15,0.111111,37.666667,58.222222,false
23,234,14,36,27,237,true
86,25,16,3.888889,40.777778,61.888889,false
79,151,15,32.666667,5.555556,166.444444,true
174,166,17,2.888889,2.555556,41.444444,false
110,185,16,12,237.888889,223.666667,false
147,40,16,4.777778,28.222222,44.666667,false
161,75,16,86.555556,106.111111,120.111111,false
152,146,16,52.888889,171.888889,231.222222,false
188,25,13,39.111111,25.111111,240.111111,true
94,275,14,186.111111,194.333333,196.444444,false
30,187,13,112.222222,146.555556,159.222222,false
